2019-10-28 17:30:23,896 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2019-10-28 17:30:23,983 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2019-10-28 17:30:23,986 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2019-10-28 17:30:23,986 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2019-10-28 17:30:24,009 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2019-10-28 17:30:24,010 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2019-10-28 17:30:24,097 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2019-10-28 17:38:52,292 INFO  SwAddin.cs: 271 - Assembly export called for file car
2019-10-28 17:38:53,357 INFO  SwAddin.cs: 290 - Saving assembly
2019-10-28 17:38:53,417 INFO  SwAddin.cs: 293 - Opening property manager
2019-10-28 17:38:53,455 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from car
2019-10-28 17:38:53,483 INFO  ExportHelperExtension.cs: 1142 - Found 31 in car
2019-10-28 17:38:53,483 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in car
2019-10-28 17:38:53,484 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2019-10-28 17:38:53,485 INFO  ExportHelperExtension.cs: 1167 - 4 components to check
2019-10-28 17:38:53,486 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from body-1
2019-10-28 17:38:53,487 INFO  ExportHelperExtension.cs: 1142 - Found 28 in body-1
2019-10-28 17:38:53,487 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in body-1
2019-10-28 17:38:53,488 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from wheel-1
2019-10-28 17:38:53,488 INFO  ExportHelperExtension.cs: 1142 - Found 24 in wheel-1
2019-10-28 17:38:53,488 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in wheel-1
2019-10-28 17:38:53,489 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from wheel-3
2019-10-28 17:38:53,489 INFO  ExportHelperExtension.cs: 1142 - Found 24 in wheel-3
2019-10-28 17:38:53,489 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in wheel-3
2019-10-28 17:38:53,490 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from wheel-2
2019-10-28 17:38:53,490 INFO  ExportHelperExtension.cs: 1142 - Found 24 in wheel-2
2019-10-28 17:38:53,491 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in wheel-2
2019-10-28 17:38:53,491 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from car
2019-10-28 17:38:53,491 INFO  ExportHelperExtension.cs: 1142 - Found 31 in car
2019-10-28 17:38:53,492 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in car
2019-10-28 17:38:53,492 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2019-10-28 17:38:53,492 INFO  ExportHelperExtension.cs: 1167 - 4 components to check
2019-10-28 17:38:53,493 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from body-1
